time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.38E-05
,,,,,,,,,
0,326.0761823,306.9773563,296.6590914,290.9648015,287.7133256,286.1509839,285.0920859,,
1.37,324.2479508,307.906756,297.1463233,291.2221378,287.8915218,286.2037584,285.2038155,,
2.75,322.5121182,308.3162356,297.3731192,291.3421981,287.9735782,286.2294814,285.254249,,
4.12,320.878947,308.5953552,297.5670002,291.4455998,288.0414392,286.2544964,285.2932729,,
5.5,319.3165363,308.7803033,297.7574812,291.5483194,288.1059826,286.2822636,285.32748,,
6.87,317.841423,308.8806008,297.9458751,291.6517544,288.1688386,286.3123866,285.3583912,,
8.24,316.4368795,308.9080359,298.1321457,291.7570677,288.231353,286.3445558,285.3871784,,
9.62,315.0889005,308.8716528,298.3149272,291.8649675,288.2943991,286.3785675,285.4145286,,
10.99,313.8130199,308.7807759,298.4888821,291.9736843,288.3573179,286.4135881,285.4403479,,
12.36,312.5956456,308.6431904,298.6530731,292.0837146,288.4207359,286.4496152,285.4650406,,
13.74,311.4252213,308.4643722,298.8067769,292.1955203,288.4852396,286.4867441,285.4889216,,
15.11,310.3156911,308.252978,298.9464502,292.3070638,288.5499701,286.5243057,285.5117581,,
16.48,309.2556064,308.0130909,299.0723722,292.4186889,288.6154346,286.5624683,285.5338194,,
17.86,308.2351687,307.7472583,299.1847874,292.530713,288.6821319,286.6014412,285.5553396,,
19.23,307.2667601,307.4633046,299.2818433,292.6410088,288.7490814,286.6406011,285.5760789,,
20.61,306.333974,307.1605644,299.3649704,292.7506852,288.8172221,286.6804727,285.5964068,,
21.98,305.4482246,306.8464179,299.4331619,292.8576776,288.8855061,286.7204408,285.6160897,,
23.35,304.6006384,306.5213128,299.4874093,292.9623451,288.9543455,286.7607617,285.6353337,,
24.73,303.7835772,306.1850357,299.5284015,293.065017,289.0241515,286.8017064,285.6543284,,
26.1,303.007134,305.8444309,299.5560627,293.1638404,289.0938019,286.842657,285.6728489,,
27.47,302.263619,305.4987971,299.5713057,293.2592508,289.1636801,286.8838859,285.6910814,,
28.85,301.5463983,305.1470638,299.5747139,293.3516278,289.2341678,286.9256741,285.7092005,,
30.22,300.8643951,304.7956331,299.566861,293.4393979,289.3041081,286.9673922,285.7269854,,
31.6,300.2062474,304.4405225,299.5482692,293.5236469,289.3743819,287.0096245,285.7447349,,
32.97,299.5801756,304.0878686,299.5198372,293.6029985,289.4438313,287.0517324,285.7622277,,
34.34,298.9800666,303.7359571,299.4820858,293.6779598,289.5128287,287.0939935,285.779626,,
35.72,298.4006319,303.3829814,299.4352499,293.7489424,289.5817362,287.1366877,285.7970864,,
37.09,297.8491452,303.0347067,299.3805995,293.8148604,289.6494232,287.1791645,285.8143835,,
38.46,297.3202579,302.6891274,299.3183943,293.8762146,289.716266,287.2216993,285.8316685,,
39.84,296.8093365,302.3442389,299.2486515,293.9333965,289.782622,287.2645677,285.8490897,,
41.21,296.322822,302.0054563,299.172909,293.9855922,289.8474161,287.3071117,285.866414,,
42.59,295.8526869,301.6681938,299.0905697,294.0335975,289.9114872,287.349914,285.8839109,,
43.96,295.4048733,301.3376422,299.0033066,294.0767668,289.9738084,287.3923153,285.901341,,
45.33,294.9750792,301.0115969,298.9109974,294.115528,290.0347587,287.4345867,285.9188421,,
46.71,294.55957,300.6879427,298.8133485,294.1501924,290.0946846,287.476995,285.936552,,
48.08,294.1636153,300.3715471,298.7121843,294.180344,290.1526433,287.5188853,285.9542205,,
49.45,293.7834305,300.0601901,298.6071978,294.2063444,290.2090082,287.5605259,285.9719802,,
50.83,293.4157259,299.7517698,298.4979483,294.2284408,290.2641135,287.6021778,285.989964,,
52.2,293.0651796,299.4508447,298.3863628,294.2464211,290.3171092,287.6431983,286.0079117,,
53.58,292.7260479,299.1530881,298.2711388,294.2606617,290.368724,287.6841473,286.0260835,,
54.95,292.4026539,298.8628606,298.1542503,294.2710727,290.4181721,287.7243939,286.0442131,,
56.32,292.0919293,298.5780122,298.0351555,294.2778893,290.4658031,287.7642,286.0624268,,
57.7,291.7912026,298.2965344,297.9132306,294.2812437,290.5119196,287.8038159,286.0808522,,
59.07,291.504318,298.0225038,297.7904931,294.2812091,290.5558341,287.8426335,286.0992147,,
60.45,291.2265919,297.751905,297.6653881,294.2779086,290.5981738,287.881187,286.1177733,,
61.82,290.9615805,297.4886335,297.5399481,294.2715123,290.6383166,287.9188866,286.1362493,,
63.19,290.7067867,297.2306737,297.4134752,294.2621289,290.6765723,287.9559846,286.154766,,
64.57,290.4600322,296.9761568,297.2852272,294.2497785,290.7132,287.9927175,286.1734474,,
65.94,290.2244846,296.7287203,297.1572411,294.2347593,290.7476735,288.0285269,286.1920104,,
67.31,289.9979327,296.4864434,297.0287554,294.2171089,290.7802735,288.0636572,286.2105774,,
68.69,289.778446,296.2475509,296.8989821,294.1967859,290.8112293,288.0983346,286.2292703,,
70.06,289.5688488,296.0154373,296.7699457,294.1741982,290.8401071,288.1320357,286.2478045,,
71.44,289.3657372,295.7866418,296.6398967,294.149128,290.8673467,288.1652331,286.2664362,,
72.81,289.1717287,295.564405,296.5108436,294.1220471,290.8925735,288.1974283,286.2848809,,
74.18,288.9850133,295.3469736,296.3819576,294.092887,290.9160142,288.2288486,286.3032596,,
75.56,288.8040078,295.1327324,296.2524063,294.0615158,290.9378454,288.2597006,286.3216909,,
76.93,288.6310502,294.9247042,296.1241652,294.0284883,290.9577772,288.2895245,286.3398932,,
78.31,288.4633401,294.7197677,295.9954529,293.9934206,290.9761293,288.3187443,286.3581176,,
79.68,288.3030469,294.5208082,295.8682179,293.9569152,290.9926654,288.3469269,286.3760855,,
81.05,288.1486838,294.326239,295.7416015,293.9188152,291.0075555,288.3742788,286.3939156,,
82.42,288.0000131,294.1359748,295.6156732,293.8792087,291.0208315,288.4007931,286.4115938,,
83.8,287.8557813,293.9485868,295.489586,293.8378762,291.0326059,288.4266486,286.4292338,,
85.17,287.7178596,293.7667047,295.3652258,293.7954994,291.0427418,288.4514662,286.4465666,,
86.55,287.5840224,293.5875862,295.2408309,293.7515402,291.0514218,288.4756052,286.4638322,,
87.92,287.4560085,293.4137413,295.1182527,293.7067127,291.0585551,288.4987137,286.4807676,,
89.3,287.3317547,293.2425461,294.995746,293.6604372,291.0642814,288.5211282,286.4976077,,
90.67,287.2128772,293.0763969,294.8751261,293.613456,291.0685533,288.5425241,286.5140968,,
92.04,287.0982835,292.9139559,294.7555369,293.5655058,291.0714531,288.5630682,286.5303462,,
93.42,286.9870135,292.7539943,294.6361491,293.5162925,291.0730228,288.5829032,286.5464611,,
94.79,286.8805178,292.5987485,294.5187214,293.466593,291.0732755,288.6017446,286.5621974,,
96.17,286.7770846,292.4458703,294.4015648,293.4157431,291.0722509,288.6198715,286.5777748,,
97.54,286.6780642,292.2974955,294.2863995,293.3645382,291.0699995,288.6370256,286.592958,,
98.92,286.5818667,292.1513785,294.1715637,293.3122876,291.066524,288.6534629,286.6079597,,
100.29,286.4897496,292.0095598,294.0587382,293.2598021,291.0619099,288.668951,286.6225538,,
101.66,286.4008726,291.8708926,293.9471006,293.2067568,291.0561708,288.6836189,286.6368423,,
103.04,286.3144961,291.7343242,293.8358612,293.1528078,291.0492872,288.6975719,286.6509185,,
104.41,286.231751,291.6017603,293.7266418,293.0987843,291.0413926,288.7106155,286.6645713,,
105.79,286.1513127,291.4711928,293.6178556,293.043943,291.0324058,288.7229486,286.6779935,,
107.16,286.0742361,291.3444432,293.5110852,292.9891219,291.0224899,288.7344011,286.6909845,,
108.53,285.9998221,291.2204859,293.4055418,292.933966,291.0116159,288.7450745,286.7036372,,
109.91,285.9274539,291.0983783,293.3004712,292.8781086,290.9997261,288.7550477,286.7160351,,
111.28,285.8580825,290.9798236,293.1973971,292.8223966,290.9870243,288.7641862,286.7279938,,
112.66,285.7906002,290.8630252,293.0948145,292.7660529,290.973356,288.7726337,286.7396837,,
114.03,285.7258949,290.7496121,292.9942084,292.7099281,290.9589499,288.7802783,286.7509316,,
115.4,285.663383,290.6386666,292.8948284,292.6536469,290.9437392,288.7871947,286.7618201,,
116.78,285.6025488,290.5293446,292.7959585,292.596828,290.9276336,288.7934364,286.7724218,,
118.15,285.5441941,290.4231709,292.6990269,292.5403242,290.9108949,288.7989243,286.7825806,,
119.53,285.4873898,290.3185366,292.6026127,292.4833387,290.8933067,288.8037498,286.7924426,,
120.9,285.4328857,290.2169014,292.5081066,292.4267241,290.8751512,288.8078547,286.8018631,,
122.28,285.379815,290.1167255,292.4141215,292.3696793,290.8561902,288.8113106,286.8109783,,
123.65,285.328879,290.0194064,292.3220115,292.3130549,290.8367244,288.8140792,286.819655,,
125.02,285.2796222,289.9241578,292.2310824,292.2564602,290.8166439,288.8161998,286.82796,,
126.4,285.2316404,289.8302551,292.1406743,292.199504,290.7958203,288.8176928,286.8359495,,
127.77,285.1855692,289.7390087,292.0520875,292.1430322,290.7745795,288.8185485,286.8435076,,
129.15,285.1406777,289.6490371,291.9640184,292.0862397,290.752635,288.8187914,286.850745,,
130.52,285.0975614,289.5615961,291.8777327,292.0299679,290.7303276,288.8184302,286.8575574,,
131.9,285.055537,289.475362,291.7919594,291.9734127,290.7073542,288.8174716,286.8640451,,
133.27,285.0151625,289.391539,291.7079302,291.9174098,290.6840694,288.8159415,286.8701152,,
134.64,284.9760798,289.3094514,291.6250077,291.8615644,290.6603293,288.813847,286.8758174,,
136.02,284.9379701,289.2284755,291.5425868,291.8054848,290.6359762,288.8111787,286.8811909,,
137.39,284.9013405,289.1497425,291.4618495,291.7499976,290.611383,288.807987,286.8861599,,
138.77,284.8656123,289.0720616,291.3816047,291.6943056,290.5862101,288.8042374,286.8907988,,
140.14,284.8312614,288.9965183,291.3030027,291.6392278,290.5608411,288.7999959,286.8950428,,
141.51,284.7979848,288.9225053,291.2254454,291.5843711,290.535113,288.7952488,286.8989293,,
142.89,284.7655124,288.8494606,291.148365,291.5293482,290.508852,288.7899676,286.9024855,,
144.26,284.7342776,288.7784058,291.0728657,291.4749664,290.4824557,288.7842403,286.9056627,,
145.64,284.7037884,288.7082671,290.9978321,291.420441,290.4555556,288.7779948,286.9085102,,
147.01,284.6744523,288.6400259,290.9243383,291.3665708,290.4285577,288.7713328,286.9109902,,
148.38,284.6460119,288.5731346,290.851824,291.3129678,290.4012835,288.7642219,286.9131277,,
149.76,284.6182376,288.5070863,290.7797572,291.2592511,290.3735463,288.7566164,286.9149381,,
151.13,284.5915012,288.4428057,290.7091692,291.2062061,290.3457627,288.7486374,286.9163989,,
152.51,284.5653826,288.3793223,290.639016,291.1530648,290.3175414,288.7401792,286.9175351,,
153.88,284.5402323,288.3175255,290.5703013,291.1006033,290.2893052,288.7313751,286.918334,,
155.25,284.5158308,288.2569208,290.5025001,291.0484407,290.2608636,288.7221757,286.9188091,,
156.63,284.491982,288.1970496,290.4351144,290.9962047,290.2320197,288.71252,286.9189643,,
158,284.4690062,288.1387511,290.3691078,290.9446568,290.2032039,288.7025581,286.9188016,,
159.38,284.4465435,288.0811462,290.3035035,290.8930486,290.1740079,288.6921548,286.9183227,,
160.75,284.4248962,288.0250428,290.2392393,290.8421319,290.1448662,288.6814707,286.9175389,,
162.13,284.4037255,287.9695954,290.1753643,290.7911667,290.115365,288.6703598,286.9164432,,
163.5,284.3833167,287.9155821,290.1127913,290.7408947,290.0859425,288.6589926,286.9150558,,
164.88,284.3633507,287.8621892,290.0505943,290.6905847,290.0561799,288.6472129,286.9133611,,
166.25,284.3440968,287.8101663,289.989662,290.6409682,290.0265187,288.6352006,286.911388,,
167.62,284.3253891,287.7590993,289.9295285,290.5916815,289.9967534,288.6228807,286.90913,,
169,284.3070784,287.708603,289.8697512,290.5423703,289.9666751,288.610169,286.9065719,,
170.37,284.289412,287.6593868,289.8111843,290.4937508,289.9367288,288.5972585,286.9037555,,
171.75,284.2721147,287.6107103,289.7529607,290.4451144,289.9064864,288.5839695,286.9006444,,
173.12,284.2554206,287.5632577,289.6959123,290.3971672,289.8763944,288.5705032,286.8972883,,
174.49,284.2391866,287.5166525,289.6396027,290.3495561,289.8462424,288.5567726,286.8936702,,
175.87,284.2232837,287.4705438,289.5836174,290.301938,289.8158174,288.542683,286.8897657,,
177.24,284.2079277,287.4255801,289.5287561,290.2550033,289.7855681,288.5284467,286.8856361,,
178.62,284.1928799,287.3810859,289.4742067,290.2080671,289.7550602,288.5138637,286.8812256,,
179.99,284.1783445,287.3376874,289.4207485,290.1618095,289.724743,288.4991533,286.8766031,,
181.37,284.1640961,287.294733,289.3675899,290.1155552,289.6941808,288.4841084,286.8717057,,
182.74,284.1503283,287.2528275,289.3154904,290.069974,289.6638231,288.4689546,286.866609,,
184.11,284.1369241,287.2116399,289.2640516,290.0247291,289.6334548,288.4535909,286.8612831,,
185.49,284.1237778,287.1708609,289.2128947,289.9794934,289.6028603,288.4379101,286.8556914,,
186.86,284.1110684,287.131065,289.1627507,289.9349215,289.5724887,288.4221467,286.8499193,,
188.24,284.0985992,287.0916555,289.1128771,289.8903618,289.5419025,288.4060774,286.8438874,,
189.61,284.0865404,287.0531881,289.0639865,289.8464593,289.5115504,288.3899419,286.8376877,,
190.98,284.07479,287.0153598,289.0157053,289.8028885,289.4812157,288.373631,286.8312817,,
192.36,284.0632558,286.977887,288.967678,289.7593338,289.4506825,288.3570303,286.824625,,
193.73,284.0520954,286.9412986,288.9205908,289.7164251,289.4203979,288.3403867,286.8178186,,
195.11,284.0411365,286.9050463,288.8737466,289.6735346,289.3899247,288.3234637,286.8107676,,
196.48,284.030529,286.8696421,288.8278151,289.6312823,289.3597088,288.3065124,286.8035786,,
197.85,284.0201841,286.8348081,288.7824454,289.5893545,289.3295335,288.2894168,286.7962056,,
199.23,284.0100208,286.8002835,288.7373034,289.5474472,289.2991833,288.2720565,286.7885972,,
200.6,284.0001783,286.7665561,288.6930344,289.5061658,289.2691018,288.2546886,286.7808679,,
201.98,283.9905052,286.7331213,288.6489831,289.464906,289.2388538,288.2370653,286.7729092,,
203.35,283.9811342,286.7004519,288.6057793,289.4242637,289.2088813,288.2194475,286.7648408,,
204.72,283.9719873,286.6682922,288.5630935,289.3839369,289.1789683,288.2017132,286.7566096,,
206.1,283.9629932,286.6364018,288.5206112,289.3436328,289.1489004,288.183737,286.7481581,,
207.47,283.9542755,286.6052319,288.47894,289.3039333,289.1191167,288.1657844,286.7396127,,
208.85,283.9457005,286.5743167,288.4374632,289.2642567,289.0891854,288.1475985,286.7308529,,
210.22,283.9373862,286.5440939,288.3967741,289.2251761,289.0595432,288.1294477,286.7220096,,
211.6,283.9292051,286.5141121,288.3562706,289.1861187,289.0297602,288.1110717,286.7129577,,
212.97,283.92127,286.4847959,288.3165321,289.1476483,289.0002707,288.0927416,286.7038323,,
214.34,283.9135153,286.4559169,288.277256,289.1094785,288.9708612,288.0743291,286.6945721,,
215.72,283.905881,286.4272597,288.2381529,289.0713319,288.9413203,288.0557033,286.685112,,
217.09,283.8984725,286.3992304,288.1997824,289.033759,288.9120785,288.0371385,286.6755927,,
218.47,283.8911764,286.3714109,288.161577,288.9962089,288.8827111,288.0183679,286.665879,,
219.84,283.8840937,286.3441957,288.1240834,288.9592235,288.8536459,287.9996677,286.6561154,,
221.21,283.8771662,286.3173734,288.0870162,288.9225274,288.8246717,287.9809062,286.6462354,,
222.59,283.8703404,286.290744,288.0501027,288.8858534,288.79558,287.9619496,286.6361694,,
223.96,283.8637108,286.2646857,288.0138712,288.8497309,288.7667943,287.9430766,286.6260666,,
225.34,283.8571764,286.2388099,287.9777861,288.8136299,288.7378961,287.9240153,286.6157831,,
226.71,283.8508277,286.2134842,287.9423639,288.7780714,288.7093058,287.9050458,286.6054712,,
228.09,283.844568,286.1883312,287.9070811,288.7425338,288.6806076,287.8858947,286.5949839,,
229.46,283.8384842,286.1637083,287.8724429,288.7075299,288.652219,287.8668429,286.5844763,,
230.83,283.8325267,286.1394248,287.8381859,288.6727986,288.6239331,287.8477553,286.5738762,,
232.21,283.8266499,286.1153003,287.8040585,288.6380872,288.5955458,287.8284954,286.5631082,,
233.58,283.8209353,286.0916776,287.7705491,288.6038962,288.5674698,287.8093457,286.5523315,,
234.96,283.8152962,286.0682052,287.7371628,288.5697241,288.5392966,287.7900296,286.541392,,
236.33,283.8098111,286.045217,287.7043778,288.5360639,288.5114354,287.7708302,286.5304513,,
237.7,283.8044355,286.0225355,287.6719452,288.5026645,288.4836829,287.7516106,286.5194332,,
239.08,283.7991283,285.9999922,287.6396268,288.4692827,288.4558386,287.7322332,286.5082596,,
240.45,283.7939635,285.977908,287.6078853,288.4363999,288.428307,287.7129817,286.4970951,,
241.83,283.7888627,285.9559547,287.5762523,288.4035336,288.4006872,287.6935777,286.4857797,,
243.2,283.7838972,285.9344446,287.5451808,288.3711579,288.3733802,287.6743053,286.47448,,
244.57,283.779027,285.9132122,287.5144354,288.3390314,288.3461863,287.6550263,286.4631172,,
245.95,283.7742149,285.8921001,287.4837902,288.30692,288.3189089,287.6356027,286.4516102,,
247.32,283.7695282,285.871409,287.4536845,288.2752867,288.291944,287.6163183,286.4401284,,
248.7,283.764896,285.8508317,287.4236739,288.2436675,288.2648986,287.5968941,286.4285069,,
250.07,283.7603831,285.8306612,287.3941885,288.2125184,288.2381653,287.5776139,286.4169165,,
251.45,283.7559213,285.8105984,287.3647932,288.1813822,288.2113543,287.5581985,286.4051905,,
252.82,283.7515731,285.790929,287.3359095,288.150708,288.1848547,287.5389317,286.3935014,,
254.19,283.7473037,285.7715022,287.3073188,288.1202672,288.1584722,287.5196747,286.3817667,,
255.57,283.7430807,285.7521742,287.2788113,288.0898378,288.1320159,287.5002893,286.3699026,,
256.94,283.7389634,285.7332207,287.2507957,288.0598586,288.1058697,287.4810584,286.3580834,,
258.32,283.7348896,285.7143606,287.2228587,288.0298898,288.0796521,287.4617033,286.3461388,,
259.69,283.7309165,285.695863,287.1954012,288.0003636,288.0537435,287.4425065,286.334244,,
261.06,283.7270125,285.6775863,287.1682156,287.9710598,288.0279537,287.4233295,286.3223149,,
262.44,283.7231481,285.6593953,287.1411023,287.9417649,288.002096,287.4040343,286.310266,,
263.81,283.7193777,285.6415499,287.1144505,287.9129012,287.9765453,287.3849024,286.2982741,,
265.19,283.7156443,285.6237854,287.0878671,287.8840454,287.9509288,287.3656562,286.2861662,,
266.56,283.7120007,285.6063557,287.0617335,287.8556135,287.9256179,287.3465763,286.2741198,,
267.94,283.7083919,285.5890026,287.0356646,287.8271884,287.9002432,287.3273859,286.2619609,,
269.31,283.7048688,285.5719738,287.0100344,287.79918,287.8751725,287.3083645,286.2498676,,
270.68,283.7014036,285.5551395,286.9846496,287.7713796,287.8502216,287.2893746,286.2377538,,
272.06,283.6979701,285.5383755,286.959324,287.7435844,287.8252097,287.2702794,286.2255327,,
273.43,283.6946167,285.5219212,286.9344213,287.7161955,287.8004993,287.251357,286.2133832,,
274.81,283.6912932,285.5055333,286.9095743,287.6888108,287.7757297,287.2323326,286.2011296,,
276.18,283.6880463,285.4894459,286.8851399,287.6618255,287.7512598,287.2134834,286.1889513,,
277.55,283.6848506,285.4735365,286.860934,287.6350383,287.7269096,287.1946725,286.1767612,,
